REGION,AGE,RACE,RACED,HISPAN,HISPAND,EDUCD,DEGFIELD,CIT,COW,MAR,MIL,PAP,SEX,HICOV,INDP,INCWAGE,POVPIP,POWSP,SOCP,PINCP
3,65,2,200,0,0,71,0,1,5,1,2,0,1,1,9590,43100,303,BBB,499071,56000
3,17,2,200,0,0,71,0,1,B,5,4,0,1,1,BBBB,0,303,BBB,BBBBBB,0
3,67,1,100,0,0,114,33,1,4,5,4,0,1,1,7870,36000,501,1,119030,74400
3,34,2,200,0,0,101,53,1,6,5,4,0,1,1,8560,0,76,1,1110XX,15100
3,26,2,200,0,0,81,0,1,1,5,4,0,2,1,7670,35000,299,1,413041,38000
3,67,1,100,0,0,63,0,1,1,1,2,0,1,1,8870,33000,375,1,411012,44630
3,67,1,100,0,0,63,0,1,B,1,4,0,2,1,BBBB,0,375,BBB,BBBBBB,12000
3,25,1,100,0,0,63,0,1,1,5,4,0,2,1,8680,15000,375,1,434051,15000
3,77,1,100,0,0,63,0,1,B,1,4,0,1,1,BBBB,0,408,BBB,BBBBBB,33400
3,74,1,100,0,0,65,0,1,B,1,4,0,2,1,BBBB,0,408,BBB,BBBBBB,15400
3,47,1,100,0,0,81,0,1,1,3,2,0,1,2,8290,29000,408,1,292061,29000
3,76,1,100,0,0,71,0,1,B,1,4,0,1,1,BBBB,0,501,BBB,BBBBBB,39600
3,73,1,100,0,0,63,0,1,1,1,4,0,2,1,570,38000,501,1,439021,52900
3,33,1,100,0,0,63,0,1,1,3,4,0,1,1,2990,4100,501,1,435071,4100
3,25,1,100,0,0,101,19,1,1,5,4,0,2,1,4270,78000,501,1,414010,78000
3,72,2,200,0,0,63,0,1,B,1,4,0,1,1,BBBB,0,377,BBB,BBBBBB,30000
3,73,2,200,0,0,71,0,1,B,1,4,0,2,1,BBBB,0,377,BBB,BBBBBB,25200
3,57,8,814,0,0,61,0,1,3,2,4,0,2,1,7860,0,103,BBB,352010,13200
3,63,8,814,0,0,63,0,1,B,2,4,0,1,1,BBBB,0,0,BBB,BBBBBB,0
3,63,1,100,0,0,40,0,1,6,3,4,0,2,2,9290,0,78,BBB,372012,9940
3,62,1,100,0,0,40,0,1,B,1,4,0,2,1,BBBB,0,175,BBB,BBBBBB,10100
3,69,1,100,0,0,26,0,1,B,1,4,0,1,1,BBBB,0,175,BBB,BBBBBB,18200
3,84,1,100,0,0,65,0,1,B,1,4,0,1,1,BBBB,0,324,BBB,BBBBBB,40000
3,82,1,100,0,0,63,0,1,B,1,4,0,2,1,BBBB,0,324,BBB,BBBBBB,8000
3,48,1,100,0,0,81,0,1,1,1,4,0,1,1,6170,125000,434,1,111021,125000
3,45,1,100,0,0,65,0,1,B,1,4,0,2,1,BBBB,0,434,BBB,BBBBBB,0
3,18,1,100,0,0,50,0,1,1,5,4,0,1,1,4890,5000,434,1,537062,5000
3,16,1,100,0,0,40,0,1,B,5,B,0,2,1,BBBB,0,434,BBB,BBBBBB,0
3,69,2,200,0,0,30,0,1,B,1,4,0,2,1,BBBB,0,122,BBB,BBBBBB,11400
3,76,2,200,0,0,30,0,1,B,1,4,0,1,1,BBBB,0,122,BBB,BBBBBB,12400
3,52,1,100,0,0,61,0,1,1,3,3,0,1,1,3580,60000,501,1,511011,76800
3,59,2,200,0,0,71,0,1,1,5,4,0,1,1,8190,35000,215,1,194021,35000
3,19,2,200,0,0,64,0,1,1,5,4,0,2,1,7890,300,215,BBB,253000,300
