,Median Selling Prices of Homes in U.S. Cities (n = 163 cities),,,Source: http://www.realtor.org,,,,,,,,"As of April, 2013"
79,"Kankakee-Bradley, IL ",IL,Central,120,127.1,131.5,134.5,130.8,129.2,116.3,118.4,119.3
80,"Kansas City, MO-KS",MO-KS,Central,150,156.7,155.8,153.3,144.3,140.7,141.6,133.2,142.6
81,"Kennewick-Richland-Pasco, WA ",WA,West,147.6,154.1,156.1,169.2,166.1,167.1,177.6,,183.3
82,"Kingston, NY ",NY,Northeast,216.8,251,252.7,258.4,242.1,208.4,213.8,201.2,190.2
83,"Knoxville, TN",TN,Southeast,132.2,143.7,151.2,156.4,149.1,141.4,140.9,141,141.3
84,"Lansing-E.Lansing, MI",MI,Central,137.9,142.2,137.7,126.8,97.7,80.7,84.4,77.5,87.2
85,"Las Vegas-Paradise, NV ",NV,West,266.4,304.7,317.4,297.7,220.5,142.9,138,124.7,134.1
86,"Lexington-Fayette,KY",KY,Southeast,138.7,146.9,147.8,147.5,144.3,141.4,143.2,138.6,143.2
87,"Lincoln, NE",NE,Central,134.4,137.2,137.5,137.5,135.2,133.3,133.6,133,139.6
88,"Little Rock-N. Little Rock, AR",AR,Southeast,108.4,119,127,129.1,129.8,131.8,132.5,129.8,138.2
89,"Los Angeles-Long Beach-Santa Ana, CA ",CA,West,446.4,529,584.8,593.6,402.1,333.9,316.7,307.7,327.5
90,"Louisville, KY-IN",KY-IN,Southeast,131.5,135.8,137.6,137.4,132.2,131.1,134.6,130.4,137.1
91,"Madison, WI",WI,Central,200.8,218.3,223.2,226.5,226.6,212.3,217.7,213.2,210.6
92,"Manchester-Nashua, NH",NH,Northeast,,,,,242.8,227.1,232,213.5,212.8
93,"Memphis, TN-MS-AR ",TN-MS-AR,Southeast,136.2,141.2,142.3,137.2,119.3,119.2,120.2,112.3,117.2
94,"Miami-Fort Lauderdale-Miami Beach, FL ",FL,Southeast,286.4,363.9,371.2,365.5,285.1,211.2,201.9,181.1,203.1
95,"Milwaukee-Waukesha-West Allis, WI ",WI,Central,197.1,215.7,220.9,223.4,212.3,193.4,205.9,185.2,187.4
96,"Minneapolis-St. Paul-Bloomington, MN-WI ",MN-WI,Central,217.4,234.8,232.3,225.2,202,177.7,170.6,154.7,171.8
97,"Mobile, AL",AL,Southeast,115.2,130.5,137,136.4,134.2,127.6,121,103.2,105
98,"Montgomery, AL",AL,Southeast,116.6,133.3,144.2,143.8,135.2,130.2,129,128.2,128.3
99,"Nashville-Davidson--Murfreesboro, TN",TN,Southeast,,,,,,,153.8,151.9,151.9
100,"New Haven-Milford, CT ",CT,Northeast,249.2,279.1,287.7,286.5,263.8,235.7,231,223.1,220.6
101,"New Orleans-Metairie-Kenner, LA ",LA,Southeast,137.4,159.2,173.1,160.3,160.5,160.1,159.7,153,156.2
102,"New York-Northern New Jersey-Long Island, NY-NJ-PA",NY-NJ-PA,Northeast,385.9,445.2,469.3,469.7,437.9,381.4,393.7,378.7,379.7
103,"New York-Wayne-White Plains, NY-NJ ",NY-NJ,Northeast,436.6,495.2,539.4,540.3,494.3,437.2,450,442.6,445.6
104,"Norwich-New London, CT ",CT,Northeast,231.5,255.9,264,267.7,236.6,211.8,204.7,184.1,186.9
105,"NY: Edison, NJ ",NJ,Northeast,328.1,375.5,387.7,380.3,365.2,331.9,345.4,313.9,299.1
106,"NY: Nassau-Suffolk, NY  ",NY,Northeast,413.5,465.2,474.7,477.2,435.8,383.3,387,375.9,382.7
107,"NY: Newark-Union, NJ-PA ",NJ-PA,Northeast,375.8,416.8,433,443.7,417.2,366.6,379.2,370.5,369.7
108,"Ocala, FL",FL,Southeast,110.1,143.5,165.8,164.6,137.5,107.4,87.8,80.9,
109,"Oklahoma City, OK",OK,Central,112.4,114.7,125,134.9,128.1,140.5,145.7,141.6,145
110,"Omaha, NE-IA",NE-IA,Central,131.3,136.2,138.4,138,135.2,133.7,137.3,135.7,139.3
111,"Orlando, FL",FL,Southeast,169.6,243.6,270.4,261.3,208.9,147.4,134.7,124.9,134
112,"Palm Bay-Melbourne-Titusville, FL ",FL,Southeast,153.4,209.7,212,183.6,144.7,107,103,108.5,116.5
113,"Pensacola-Ferry Pass-Brent, FL ",FL,Southeast,131.1,162.1,166,165.6,155.7,145.7,141,134.6,135.9
114,"Peoria, IL",IL,Central,96.3,109.3,112.7,118.6,122.1,119.4,116.9,119.8,130.3
115,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",PA-NJ-DE-MD,Northeast,185.1,215.3,230.2,234.9,231.4,215.9,214.9,210.1,213.4
116,"Phoenix-Mesa-Scottsdale, AZ",AZ,West,169.4,247.4,268.2,257.4,191.3,137,139.2,115.5,147.6
117,"Pittsburgh, PA",PA,Northeast,113.4,116.1,116.1,120.7,,,,,
118,"Pittsfield, MA ",MA,Northeast,192.8,207.3,212.9,217.4,212.6,186.4,195.5,188.3,183.1
119,"Portland-South Portland-Biddeford, ME ",ME,Northeast,224.8,246.6,243.8,242.7,229.3,203.5,218,213.7,219.5
120,"Portland-Vancouver-Beaverton, OR-WA ",OR-WA,West,206.5,244.9,280.8,295.2,280.1,244.1,237.3,219.5,232.9
121,"Providence-New Bedford-Fall River, RI-MA ",RI-MA,Northeast,276.9,293.4,289.6,286.5,250.6,218.5,228.5,217.2,214.7
122,"Raleigh-Cary, NC ",NC,Southeast,169.9,194.9,213.8,224.2,223.4,215.4,217.6,,
123,"Reading, PA ",PA,Northeast,121.1,136.6,143.2,154.7,155.7,152.8,153.3,143.1,146
124,"Reno-Sparks, NV ",NV,Northeast,284.3,349.9,347.2,321.4,259.1,193.8,179.5,158,169.9
125,"Richmond, VA ",VA,Southeast,170.7,201.9,225.5,233.7,223.5,,,,
126,"Riverside-San Bernardino-Ontario, CA ",CA,West,296.4,374.2,400.7,379.5,234.2,169.7,179.3,172.3,189.3
127,"Rochester, NY",NY,Northeast,106.5,113.5,114.8,117.9,117,116.4,118.9,119.7,124.2
128,"Rockford, IL",IL,Central,103.6,118.2,119.3,119.3,117,108.2,106.9,92,89.2
129,"Sacramento--Arden-Arcade--Roseville, CA ",CA,West,317,375.9,374.5,342.8,216.7,180.5,183.6,166.1,176.8
130,"Saint Louis, MO-IL",MO-IL,Central,128.7,141,148.4,145.4,133.2,127.1,131.1,121.8,123.9
131,"Salem, OR ",OR,West,154.6,177.7,212.9,228.3,208.8,183.7,173.5,146.2,147.7
132,"Salt Lake City, UT ",UT,West,158,173.9,203,232,229.6,217,206.5,182.2,
133,"San Antonio, TX",TX,Southeast,122.7,133.9,141.7,153.2,152.8,149.3,151,152.5,159.5
134,"San Diego-Carlsbad-San Marcos, CA ",CA,West,551.6,604.3,601.8,588.7,385.6,359.5,385.2,370.3,385.5
135,"San Francisco-Oakland-Fremont, CA ",CA,West,641.7,715.7,752.8,804.8,622,493.3,525.3,483.4,543.8
136,"San Jose-Sunnyvale-Santa Clara, CA",CA,West,698.5,744.5,775,836.8,668,530,602.4,570,645
137,"Sarasota-Bradenton-Venice, FL ",FL,Southeast,255.7,354.2,334.3,310.9,240.6,170.5,164.6,156.2,171.9
138,"Seattle-Tacoma-Bellevue, WA ",WA,West,284.6,316.8,361.2,386.9,357.2,306.2,295.7,285,300.4
139,"Shreveport-Bossier City, LA ",LA,Southeast,110.6,124.3,132.2,135.6,138.5,147,156.6,156.2,156.6
140,"Sioux Falls, SD",SD,Central,129.2,135.8,138,144.5,142.3,139.2,143.3,141.4,149.2
141,"South Bend-Mishawaka, IN",IN,Central,93.6,96.6,92.7,90.7,86,85.2,83.1,83.6,85.7
142,"Spartanburg, SC ",SC,Southeast,110.8,121.2,126.7,128.6,127.3,120.7,118.2,117,122.7
143,"Spokane, WA",WA,West,128.5,156.4,184.1,193.8,191.2,175.2,172.2,162.3,169.5
144,"Springfield, IL",IL,Central,103.3,106.4,105.4,109,108,113.9,124,117.2,121
145,"Springfield, MA",MA,Northeast,180.3,201.8,209.6,211.9,200.6,186.4,190,181.4,178.9
146,"Springfield, MO",MO,Central,114.1,121.1,124.8,122.6,121.1,114.6,109.1,104.7,108.4
147,"Syracuse, NY",NY,Northeast,98.4,110.6,116.8,121.8,120.2,121,125.1,122.9,124.8
148,"Tallahassee, FL",FL,Southeast,152.5,167.6,177.5,179.5,179.9,150.9,152.8,143,144.9
149,"Tampa-St.Petersburg-Clearwater, FL",FL,Southeast,159.7,205.3,228.9,214.9,173,140.7,134.2,127.8,138.1
150,"Toledo, OH",OH,Central,113.5,117.3,110,106.6,91.2,83.4,81.5,75.7,80.4
151,"Topeka, KS",KS,Central,102.1,105.7,106.1,111.9,108,108.4,107.2,101.5,106.2
152,"Trenton-Ewing, NJ ",NJ,Northeast,234.2,261.1,289.6,307.1,303.2,263.7,250.7,240.1,250.3
153,"Tucson, AZ",AZ,West,177.3,231.6,244.9,244.8,204.3,172.5,156.6,134.5,149.9
154,"Tulsa, OK",OK,Central,,,,,136.9,130.1,132.3,129.7,136.3
155,"Virginia Beach-Norfolk-Newport News, VA-NC ",VA-NC,Southeast,163,197.2,216,226.8,220,210,205,182.9,187.5
156,"Washington-Arlington-Alexandria, DC-VA-MD-WV ",DC-VA-MD-WV,Northeast,339.8,425.8,431,430.8,343.4,308.6,325.3,325.4,352
157,"Waterloo/Cedar Falls, IA",IA,Central,95.2,102.2,108.9,112.8,111.5,110.6,112.1,112.8,117.6
158,"Wichita, KS",KS,Central,103.9,108,114.9,115.6,121.8,118.7,118.7,115.6,116.9
159,"Winston-Salem, NC",NC,Southeast,,,,,,,134.7,125.9,123.6
160,"Worcester, MA",MA,Northeast,275.9,290.7,281.7,274.6,237.1,217.7,223.3,209.6,206
161,"Yakima, WA",WA,West,129.9,133.9,136.5,156.5,153.3,155.2,155.7,150.4,161.7
162,"York-Hanover, PA",PA,Northeast,,,,,,,158.6,151.6,146.8
163,"Youngstown-Warren-Boardman, OH-PA ",OH-PA,Central,86,85.6,81.5,78.9,71.7,66.5,67.2,,
